"No.","Time","Source","Destination","Protocol","Length","Info"
"1148","2023-03-09 22:10:41.042208485","192.168.1.100","192.168.1.101","TCP","60","57  >  53111 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1149","2023-03-09 22:10:41.073384152","192.168.1.101","192.168.1.100","TCP","54","50799  >  20 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1150","2023-03-09 22:10:41.074676745","192.168.1.100","192.168.1.101","TCP","60","20  >  50799 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1151","2023-03-09 22:10:41.089783961","192.168.1.101","192.168.1.100","TCP","54","22745  >  58 [FIN] Seq=1 Win=8192 Len=0"
"1152","2023-03-09 22:10:41.090794889","192.168.1.100","192.168.1.101","TCP","60","58  >  22745 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1153","2023-03-09 22:10:41.121881582","192.168.1.101","192.168.1.100","TCP","54","22943  >  21 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1154","2023-03-09 22:10:41.130678708","192.168.1.101","192.168.1.100","TCP","54","1397  >  59 [FIN] Seq=1 Win=8192 Len=0"
"1155","2023-03-09 22:10:41.131670679","192.168.1.100","192.168.1.101","TCP","60","59  >  1397 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1156","2023-03-09 22:10:41.162879702","192.168.1.101","192.168.1.100","TCP","54","6312  >  60 [FIN] Seq=1 Win=8192 Len=0"
"1157","2023-03-09 22:10:41.163987554","192.168.1.100","192.168.1.101","TCP","60","60  >  6312 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1158","2023-03-09 22:10:41.202136859","192.168.1.101","192.168.1.100","TCP","54","14765  >  61 [FIN] Seq=1 Win=8192 Len=0"
"1159","2023-03-09 22:10:41.203452183","192.168.1.100","192.168.1.101","TCP","60","61  >  14765 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1160","2023-03-09 22:10:41.236957174","192.168.1.101","192.168.1.100","TCP","54","32315  >  62 [FIN] Seq=1 Win=8192 Len=0"
"1161","2023-03-09 22:10:41.238593329","192.168.1.100","192.168.1.101","TCP","60","62  >  32315 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1162","2023-03-09 22:10:41.276669412","192.168.1.101","192.168.1.100","TCP","54","10683  >  63 [FIN] Seq=1 Win=8192 Len=0"
"1163","2023-03-09 22:10:41.277573553","192.168.1.100","192.168.1.101","TCP","60","63  >  10683 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1164","2023-03-09 22:10:41.313272466","192.168.1.101","192.168.1.100","TCP","54","38053  >  64 [FIN] Seq=1 Win=8192 Len=0"
"1165","2023-03-09 22:10:41.314291654","192.168.1.100","192.168.1.101","TCP","60","64  >  38053 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1166","2023-03-09 22:10:41.353523095","192.168.1.101","192.168.1.100","TCP","54","23082  >  65 [FIN] Seq=1 Win=8192 Len=0"
"1167","2023-03-09 22:10:41.354734504","192.168.1.100","192.168.1.101","TCP","60","65  >  23082 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1168","2023-03-09 22:10:41.393426877","192.168.1.101","192.168.1.100","TCP","54","26559  >  66 [FIN] Seq=1 Win=8192 Len=0"
"1169","2023-03-09 22:10:41.395644602","192.168.1.100","192.168.1.101","TCP","60","66  >  26559 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1170","2023-03-09 22:10:41.428608293","192.168.1.101","192.168.1.100","TCP","54","23243  >  67 [FIN] Seq=1 Win=8192 Len=0"
"1171","2023-03-09 22:10:41.429676924","192.168.1.100","192.168.1.101","TCP","60","67  >  23243 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1172","2023-03-09 22:10:41.465334348","192.168.1.101","192.168.1.100","TCP","54","37291  >  68 [FIN] Seq=1 Win=8192 Len=0"
"1173","2023-03-09 22:10:41.466324850","192.168.1.100","192.168.1.101","TCP","60","68  >  37291 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1174","2023-03-09 22:10:41.505908371","192.168.1.101","192.168.1.100","TCP","54","43427  >  69 [FIN] Seq=1 Win=8192 Len=0"
"1175","2023-03-09 22:10:41.507634426","192.168.1.100","192.168.1.101","TCP","60","69  >  43427 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1176","2023-03-09 22:10:41.557187360","192.168.1.101","192.168.1.100","TCP","54","28855  >  70 [FIN] Seq=1 Win=8192 Len=0"
"1177","2023-03-09 22:10:41.559680447","192.168.1.100","192.168.1.101","TCP","60","70  >  28855 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1178","2023-03-09 22:10:41.612646839","192.168.1.101","192.168.1.100","TCP","54","49367  >  71 [FIN] Seq=1 Win=8192 Len=0"
"1179","2023-03-09 22:10:41.613848012","192.168.1.100","192.168.1.101","TCP","60","71  >  49367 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1180","2023-03-09 22:10:41.647436014","192.168.1.101","192.168.1.1","DNS","97","Standard query 0x40d9 A firefox.settings.services.mozilla.com"
"1181","2023-03-09 22:10:41.647833119","192.168.1.101","192.168.1.1","DNS","97","Standard query 0x42db AAAA firefox.settings.services.mozilla.com"
"1182","2023-03-09 22:10:41.658701037","192.168.1.101","192.168.1.100","TCP","54","64606  >  72 [FIN] Seq=1 Win=8192 Len=0"
"1183","2023-03-09 22:10:41.661243084","192.168.1.100","192.168.1.101","TCP","60","72  >  64606 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1184","2023-03-09 22:10:41.692759103","192.168.1.101","192.168.1.100","TCP","54","16266  >  73 [FIN] Seq=1 Win=8192 Len=0"
"1185","2023-03-09 22:10:41.694275556","192.168.1.100","192.168.1.101","TCP","60","73  >  16266 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1186","2023-03-09 22:10:41.733318843","192.168.1.101","192.168.1.100","TCP","54","25768  >  74 [FIN] Seq=1 Win=8192 Len=0"
"1187","2023-03-09 22:10:41.735623384","192.168.1.100","192.168.1.101","TCP","60","74  >  25768 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1188","2023-03-09 22:10:41.776986579","192.168.1.101","192.168.1.100","TCP","54","10210  >  75 [FIN] Seq=1 Win=8192 Len=0"
"1189","2023-03-09 22:10:41.778696264","192.168.1.100","192.168.1.101","TCP","60","75  >  10210 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1190","2023-03-09 22:10:41.812550936","192.168.1.101","192.168.1.100","TCP","54","17342  >  76 [FIN] Seq=1 Win=8192 Len=0"
"1191","2023-03-09 22:10:41.813711058","192.168.1.100","192.168.1.101","TCP","60","76  >  17342 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1192","2023-03-09 22:10:41.852493472","192.168.1.101","192.168.1.100","TCP","54","57187  >  77 [FIN] Seq=1 Win=8192 Len=0"
"1193","2023-03-09 22:10:41.853604319","192.168.1.100","192.168.1.101","TCP","60","77  >  57187 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1194","2023-03-09 22:10:41.894682900","192.168.1.101","192.168.1.100","TCP","54","32950  >  78 [FIN] Seq=1 Win=8192 Len=0"
"1195","2023-03-09 22:10:41.895955951","192.168.1.100","192.168.1.101","TCP","60","78  >  32950 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1196","2023-03-09 22:10:41.931043347","192.168.1.101","192.168.1.100","TCP","54","30435  >  79 [FIN] Seq=1 Win=8192 Len=0"
"1197","2023-03-09 22:10:41.932269680","192.168.1.100","192.168.1.101","TCP","60","79  >  30435 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1198","2023-03-09 22:10:41.965237191","192.168.1.101","192.168.1.100","TCP","54","47998  >  80 [FIN] Seq=1 Win=8192 Len=0"
"1199","2023-03-09 22:10:43.002324098","192.168.1.101","192.168.1.100","TCP","54","19009  >  81 [FIN] Seq=1 Win=8192 Len=0"
"1200","2023-03-09 22:10:43.003676773","192.168.1.100","192.168.1.101","TCP","60","81  >  19009 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1201","2023-03-09 22:10:43.052978043","192.168.1.101","192.168.1.100","TCP","54","50873  >  82 [FIN] Seq=1 Win=8192 Len=0"
"1202","2023-03-09 22:10:43.054057262","192.168.1.100","192.168.1.101","TCP","60","82  >  50873 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1203","2023-03-09 22:10:43.101352448","192.168.1.101","192.168.1.100","TCP","54","21512  >  83 [FIN] Seq=1 Win=8192 Len=0"
"1204","2023-03-09 22:10:43.102556951","192.168.1.100","192.168.1.101","TCP","60","83  >  21512 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1205","2023-03-09 22:10:43.153364095","192.168.1.101","192.168.1.100","TCP","54","15152  >  84 [FIN] Seq=1 Win=8192 Len=0"
"1206","2023-03-09 22:10:43.154908523","192.168.1.100","192.168.1.101","TCP","60","84  >  15152 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1207","2023-03-09 22:10:43.168813505","192.168.1.101","192.168.1.100","TCP","54","52647  >  22 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1208","2023-03-09 22:10:43.200700238","192.168.1.101","192.168.1.100","TCP","54","48660  >  85 [FIN] Seq=1 Win=8192 Len=0"
"1209","2023-03-09 22:10:43.201959642","192.168.1.100","192.168.1.101","TCP","60","85  >  48660 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1210","2023-03-09 22:10:43.240982775","192.168.1.101","192.168.1.100","TCP","54","27232  >  86 [FIN] Seq=1 Win=8192 Len=0"
"1211","2023-03-09 22:10:43.242225963","192.168.1.100","192.168.1.101","TCP","60","86  >  27232 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1212","2023-03-09 22:10:43.280605769","192.168.1.101","192.168.1.100","TCP","54","28799  >  87 [FIN] Seq=1 Win=8192 Len=0"
